"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"YHR183W" "OTHER" "1" "GND1" "S. cerevisiae" "6-phosphoGlucoNateDehydrogenase" "1470" "YHR183W" "S000001226" "ORF"
"YDL103C" "OTHER" "1" "QRI1" "S. cerevisiae" "" "1434" "YDL103C" "S000002261" "ORF"
"YLR260W" "OTHER" "1" "LCB5" "S. cerevisiae" "Long-Chain Base" "2064" "YLR260W" "S000004250" "ORF"
"YOL052C" "OTHER" "1" "SPE2" "S. cerevisiae" "SPErmidine auxotroph" "1191" "YOL052C" "S000005412" "ORF"
"YIL107C" "OTHER" "1" "PFK26" "S. cerevisiae" "6-PhosphoFructo-2-Kinase" "2484" "YIL107C" "S000001369" "ORF"
"YGL001C" "OTHER" "1" "ERG26" "S. cerevisiae" "ERGosterol biosynthesis" "1050" "YGL001C" "S000002969" "ORF"
"YLL031C" "OTHER" "1" "GPI13" "S. cerevisiae" "GlycosylPhosphatidylInositol anchor biosynthesis" "3054" "YLL031C" "S000003954" "ORF"
"YER062C" "OTHER" "1" "GPP2" "S. cerevisiae" "Glycerol-3-Phosphate Phosphatase" "753" "YER062C" "S000000864" "ORF"
"YLL057C" "OTHER" "1" "JLP1" "S. cerevisiae" "dnaJ-Like Protein" "1239" "YLL057C" "S000003980" "ORF"
"YFR053C" "OTHER" "1" "HXK1" "S. cerevisiae" "HeXoKinase" "1458" "YFR053C" "S000001949" "ORF"
"YIL155C" "OTHER" "1" "GUT2" "S. cerevisiae" "Glycerol UTilization" "1950" "YIL155C" "S000001417" "ORF"
"YDR354W" "OTHER" "1" "TRP4" "S. cerevisiae" "TRyPtophan" "1143" "YDR354W" "S000002762" "ORF"
"YCL004W" "OTHER" "1" "PGS1" "S. cerevisiae" "PhosphatidylGlycerolphosphate Synthase" "1566" "YCL004W" "S000000510" "ORF"
"YPL265W" "OTHER" "1" "DIP5" "S. cerevisiae" "DIcarboxylic amino acid Permease" "1827" "YPL265W" "S000006186" "ORF"
"YDR322C-A" "OTHER" "1" "TIM11" "S. cerevisiae" "Translocase of the Inner Mitochondrial membrane" "291" "YDR322C-A" "S000007255" "ORF"
"YGL191W" "OTHER" "1" "COX13" "S. cerevisiae" "Cytochrome c OXidase" "390" "YGL191W" "S000003159" "ORF"
"YJR130C" "OTHER" "1" "STR2" "S. cerevisiae" "Sulfur TRansfer" "1920" "YJR130C" "S000003891" "ORF"
"YER062C" "OTHER" "1" "GPP2" "S. cerevisiae" "Glycerol-3-Phosphate Phosphatase" "753" "YER062C" "S000000864" "ORF"
"YOR273C" "OTHER" "1" "TPO4" "S. cerevisiae" "Transporter of POlyamines" "1980" "YOR273C" "S000005799" "ORF"
"YMR278W" "OTHER" "1" "PRM15" "S. cerevisiae" "Phospho Ribo Mutase" "1869" "YMR278W" "S000004891" "ORF"
"YKL212W" "OTHER" "1" "SAC1" "S. cerevisiae" "Suppressor of ACtin" "1872" "YKL212W" "S000001695" "ORF"
"YLR081W" "OTHER" "1" "GAL2" "S. cerevisiae" "GALactose metabolism" "1725" "YLR081W" "S000004071" "ORF"
"YKL094W" "OTHER" "1" "YJU3" "S. cerevisiae" "" "942" "YKL094W" "S000001577" "ORF"
"YLL012W" "OTHER" "1" "YEH1" "S. cerevisiae" "Yeast steryl Ester Hydrolase" "1722" "YLL012W" "S000003935" "ORF"
"YER086W" "OTHER" "1" "ILV1" "S. cerevisiae" "IsoLeucine-plus-Valine requiring" "1731" "YER086W" "S000000888" "ORF"
"YOR321W" "OTHER" "1" "PMT3" "S. cerevisiae" "Protein O-MannosylTransferase" "2262" "YOR321W" "S000005848" "ORF"
"YPL212C" "OTHER" "1" "PUS1" "S. cerevisiae" "PseudoUridine Synthase" "1635" "YPL212C" "S000006133" "ORF"
"YJR013W" "OTHER" "1" "GPI14" "S. cerevisiae" "GlycosylPhosphatidylInositol anchor biosynthesis" "1212" "YJR013W" "S000003774" "ORF"
"YDR300C" "OTHER" "1" "PRO1" "S. cerevisiae" "PROline requiring" "1287" "YDR300C" "S000002708" "ORF"
"YLR153C" "OTHER" "1" "ACS2" "S. cerevisiae" "Acetyl CoA Synthetase" "2052" "YLR153C" "S000004143" "ORF"
"YKR053C" "OTHER" "1" "YSR3" "S. cerevisiae" "Yeast Sphingolipid Resistance" "1215" "YKR053C" "S000001761" "ORF"
"YKL085W" "OTHER" "1" "MDH1" "S. cerevisiae" "Malate DeHydrogenase" "1005" "YKL085W" "S000001568" "ORF"
"YHR037W" "OTHER" "1" "PUT2" "S. cerevisiae" "Proline UTilization" "1728" "YHR037W" "S000001079" "ORF"
"YLR146C" "OTHER" "1" "SPE4" "S. cerevisiae" "SPErmidine auxotroph" "903" "YLR146C" "S000004136" "ORF"
"YOR202W" "OTHER" "1" "HIS3" "S. cerevisiae" "HIStidine" "663" "YOR202W" "S000005728" "ORF"
"YGR143W" "OTHER" "1" "SKN1" "S. cerevisiae" "Suppressor of Kre Null" "2316" "YGR143W" "S000003375" "ORF"
"YDL067C" "OTHER" "1" "COX9" "S. cerevisiae" "Cytochrome c OXidase" "180" "YDL067C" "S000002225" "ORF"
"YKL004W" "OTHER" "1" "AUR1" "S. cerevisiae" "AUreobasidin A Resistance" "1206" "YKL004W" "S000001487" "ORF"
"YDR098C" "OTHER" "1" "GRX3" "S. cerevisiae" "GlutaRedoXin" "753" "YDR098C" "S000002505" "ORF"
"YIL107C" "OTHER" "1" "PFK26" "S. cerevisiae" "6-PhosphoFructo-2-Kinase" "2484" "YIL107C" "S000001369" "ORF"
"YHR018C" "OTHER" "1" "ARG4" "S. cerevisiae" "ARGinine requiring" "1392" "YHR018C" "S000001060" "ORF"
"YGR061C" "OTHER" "1" "ADE6" "S. cerevisiae" "ADEnine requiring" "4077" "YGR061C" "S000003293" "ORF"
"YBL030C" "OTHER" "1" "PET9" "S. cerevisiae" "PETite" "957" "YBL030C" "S000000126" "ORF"
"YDR428C" "OTHER" "1" "BNA7" "S. cerevisiae" "Biosynthesis of NAD" "786" "YDR428C" "S000002836" "ORF"
"YOR317W" "OTHER" "1" "FAA1" "S. cerevisiae" "Fatty Acid Activation" "2103" "YOR317W" "S000005844" "ORF"
"YKL217W" "OTHER" "1" "JEN1" "S. cerevisiae" "" "1851" "YKL217W" "S000001700" "ORF"
"YGR208W" "OTHER" "1" "SER2" "S. cerevisiae" "SERine requiring" "930" "YGR208W" "S000003440" "ORF"
"YGR007W" "OTHER" "1" "ECT1" "S. cerevisiae" "Ethanolamine-phosphate CytidylylTransferase" "972" "YGR007W" "S000003239" "ORF"
"YMR267W" "OTHER" "1" "PPA2" "S. cerevisiae" "PyroPhosphatAse" "933" "YMR267W" "S000004880" "ORF"
"YNR072W" "OTHER" "1" "HXT17" "S. cerevisiae" "HeXose Transporter" "1695" "YNR072W" "S000005355" "ORF"
"YKL127W" "OTHER" "1" "PGM1" "S. cerevisiae" "PhosphoGlucoMutase" "1713" "YKL127W" "S000001610" "ORF"
"YKL120W" "OTHER" "1" "OAC1" "S. cerevisiae" "OxaloAcetate Carrier" "975" "YKL120W" "S000001603" "ORF"
"YGL001C" "OTHER" "1" "ERG26" "S. cerevisiae" "ERGosterol biosynthesis" "1050" "YGL001C" "S000002969" "ORF"
"YER060W" "OTHER" "1" "FCY21" "S. cerevisiae" "FluoroCYtosine resistance" "1587" "YER060W" "S000000862" "ORF"
"YML110C" "OTHER" "1" "COQ5" "S. cerevisiae" "COenzyme Q" "924" "YML110C" "S000004578" "ORF"
"YMR202W" "OTHER" "1" "ERG2" "S. cerevisiae" "ERGosterol biosynthesis" "669" "YMR202W" "S000004815" "ORF"
"YKL141W" "OTHER" "1" "SDH3" "S. cerevisiae" "Succinate DeHydrogenase" "597" "YKL141W" "S000001624" "ORF"
"YEL046C" "OTHER" "1" "GLY1" "S. cerevisiae" "GLYcine requiring" "1164" "YEL046C" "S000000772" "ORF"
"YOR348C" "OTHER" "1" "PUT4" "S. cerevisiae" "Proline UTilization" "1884" "YOR348C" "S000005875" "ORF"
"YLR134W" "OTHER" "1" "PDC5" "S. cerevisiae" "Pyruvate DeCarboxylase" "1692" "YLR134W" "S000004124" "ORF"
"YBR145W" "OTHER" "1" "ADH5" "S. cerevisiae" "Alcohol DeHydrogenase" "1056" "YBR145W" "S000000349" "ORF"
"YJR110W" "OTHER" "1" "YMR1" "S. cerevisiae" "Yeast Myotubularin Related" "2067" "YJR110W" "S000003871" "ORF"
"YML042W" "OTHER" "1" "CAT2" "S. cerevisiae" "Carnitine AcetylTransferase" "2013" "YML042W" "S000004506" "ORF"
"YDR127W" "OTHER" "1" "ARO1" "S. cerevisiae" "AROmatic amino acid requiring" "4767" "YDR127W" "S000002534" "ORF"
"YLR011W" "OTHER" "1" "LOT6" "S. cerevisiae" "LOw Temperature-responsive" "576" "YLR011W" "S000004001" "ORF"
"YDR019C" "OTHER" "1" "GCV1" "S. cerevisiae" "GlyCine cleaVage" "1203" "YDR019C" "S000002426" "ORF"
"YJL219W" "OTHER" "1" "HXT9" "S. cerevisiae" "HeXose Transporter" "1704" "YJL219W" "S000003755" "ORF"
"YLR355C" "OTHER" "1" "ILV5" "S. cerevisiae" "IsoLeucine-plus-Valine requiring" "1188" "YLR355C" "S000004347" "ORF"
"YJL101C" "OTHER" "1" "GSH1" "S. cerevisiae" "glutathione (GSH)" "2037" "YJL101C" "S000003637" "ORF"
"YJL134W" "OTHER" "1" "LCB3" "S. cerevisiae" "Long-Chain Base" "1230" "YJL134W" "S000003670" "ORF"
"YKL067W" "OTHER" "1" "YNK1" "S. cerevisiae" "Yeast Nucleoside diphosphate Kinase" "462" "YKL067W" "S000001550" "ORF"
"YNL277W" "OTHER" "1" "MET2" "S. cerevisiae" "METhionine requiring" "1461" "YNL277W" "S000005221" "ORF"
"YDR321W" "OTHER" "1" "ASP1" "S. cerevisiae" "ASParaginase" "1146" "YDR321W" "S000002729" "ORF"
"YMR170C" "OTHER" "1" "ALD2" "S. cerevisiae" "ALdehyde Dehydrogenase" "1521" "YMR170C" "S000004780" "ORF"
"YKL181W" "OTHER" "1" "PRS1" "S. cerevisiae" "PhosphoRibosylpyrophosphate Synthetase" "1284" "YKL181W" "S000001664" "ORF"
"YDR297W" "OTHER" "1" "SUR2" "S. cerevisiae" "SUppressor of Rvs161 and rvs167 mutations" "1050" "YDR297W" "S000002705" "ORF"
"YIL099W" "OTHER" "1" "SGA1" "S. cerevisiae" "Sporulation-specific GlycoAmylase" "1650" "YIL099W" "S000001361" "ORF"
"YHR106W" "OTHER" "1" "TRR2" "S. cerevisiae" "ThioRedoxin Reductase" "1029" "YHR106W" "S000001148" "ORF"
"YPL262W" "OTHER" "1" "FUM1" "S. cerevisiae" "FUMarase" "1467" "YPL262W" "S000006183" "ORF"
"YLR304C" "OTHER" "1" "ACO1" "S. cerevisiae" "ACOnitase" "2337" "YLR304C" "S000004295" "ORF"
"YOR163W" "OTHER" "1" "DDP1" "S. cerevisiae" "Diadenosine and Diphosphoinositol Polyphosphate phosphohydrolase" "567" "YOR163W" "S000005689" "ORF"
"YDR503C" "OTHER" "1" "LPP1" "S. cerevisiae" "Lipid Phosphate Phosphatase" "825" "YDR503C" "S000002911" "ORF"
"YOL020W" "OTHER" "1" "TAT2" "S. cerevisiae" "Tryptophan Amino acid Transporter" "1779" "YOL020W" "S000005380" "ORF"
"YCR036W" "OTHER" "1" "RBK1" "S. cerevisiae" "RiBoKinase" "1002" "YCR036W" "S000000632" "ORF"
"YJL121C" "OTHER" "1" "RPE1" "S. cerevisiae" "Ribulose 5-Phosphate Epimerase" "717" "YJL121C" "S000003657" "ORF"
"YPL172C" "OTHER" "1" "COX10" "S. cerevisiae" "Cytochrome c OXidase" "1389" "YPL172C" "S000006093" "ORF"
"YBR218C" "OTHER" "1" "PYC2" "S. cerevisiae" "PYruvate Carboxylase" "3543" "YBR218C" "S000000422" "ORF"
"YAL012W" "OTHER" "1" "CYS3" "S. cerevisiae" "CYStathionine gamma-lyase" "1185" "YAL012W" "S000000010" "ORF"
"YJL100W" "OTHER" "1" "LSB6" "S. cerevisiae" "Las Seventeen Binding protein" "1824" "YJL100W" "S000003636" "ORF"
"YGR264C" "OTHER" "1" "MES1" "S. cerevisiae" "MEthionyl-tRNA Synthetase" "2256" "YGR264C" "S000003496" "ORF"
"YGR110W" "OTHER" "1" "CLD1" "S. cerevisiae" "CardioLipin-specific Deacylase" "1338" "YGR110W" "S000003342" "ORF"
"YNL220W" "OTHER" "1" "ADE12" "S. cerevisiae" "ADEnine requiring" "1302" "YNL220W" "S000005164" "ORF"
"YMR261C" "OTHER" "1" "TPS3" "S. cerevisiae" "Trehalose Phosphate Synthase" "3165" "YMR261C" "S000004874" "ORF"
"YOR074C" "OTHER" "1" "CDC21" "S. cerevisiae" "Cell Division Cycle" "915" "YOR074C" "S000005600" "ORF"
"YER060W-A" "OTHER" "1" "FCY22" "S. cerevisiae" "FluoroCYtosine resistance" "1593" "YER060W-A" "S000002958" "ORF"
"YFL053W" "OTHER" "1" "DAK2" "S. cerevisiae" "DihydroxyAcetone Kinase" "1776" "YFL053W" "S000001841" "ORF"
"YBR205W" "OTHER" "1" "KTR3" "S. cerevisiae" "Kre Two Related" "1215" "YBR205W" "S000000409" "ORF"
"YLR100W" "OTHER" "1" "ERG27" "S. cerevisiae" "ERGosterol biosynthesis" "1044" "YLR100W" "S000004090" "ORF"
"YLR303W" "OTHER" "1" "MET17" "S. cerevisiae" "METhionine requiring" "1335" "YLR303W" "S000004294" "ORF"
"YBR084W" "OTHER" "1" "MIS1" "S. cerevisiae" "MItochondrial C1-tetrahydrofolate Synthase" "2928" "YBR084W" "S000000288" "ORF"
"YGR204W" "OTHER" "1" "ADE3" "S. cerevisiae" "ADEnine requiring" "2841" "YGR204W" "S000003436" "ORF"
"YIL162W" "OTHER" "1" "SUC2" "S. cerevisiae" "SUCrose" "1599" "YIL162W" "S000001424" "ORF"
"YER015W" "OTHER" "1" "FAA2" "S. cerevisiae" "Fatty Acid Activation" "2235" "YER015W" "S000000817" "ORF"
"YOR171C" "OTHER" "1" "LCB4" "S. cerevisiae" "Long-Chain Base" "1875" "YOR171C" "S000005697" "ORF"
"YKL216W" "OTHER" "1" "URA1" "S. cerevisiae" "URAcil requiring" "945" "YKL216W" "S000001699" "ORF"
"YKL001C" "OTHER" "1" "MET14" "S. cerevisiae" "METhionine requiring" "609" "YKL001C" "S000001484" "ORF"
"YPL059W" "OTHER" "1" "GRX5" "S. cerevisiae" "GlutaRedoXin" "453" "YPL059W" "S000005980" "ORF"
"YOL103W" "OTHER" "1" "ITR2" "S. cerevisiae" "myo-Inositol TRansporter" "1830" "YOL103W" "S000005463" "ORF"
"YGL067W" "OTHER" "1" "NPY1" "S. cerevisiae" "NADH PYrophosphatase" "1155" "YGL067W" "S000003035" "ORF"
"YIL116W" "OTHER" "1" "HIS5" "S. cerevisiae" "HIStidine requiring" "1158" "YIL116W" "S000001378" "ORF"
"YPL069C" "OTHER" "1" "BTS1" "S. cerevisiae" "Bet Two Suppressor" "1008" "YPL069C" "S000005990" "ORF"
"YCL018W" "OTHER" "1" "LEU2" "S. cerevisiae" "LEUcine biosynthesis" "1095" "YCL018W" "S000000523" "ORF"
"YJR010W" "OTHER" "1" "MET3" "S. cerevisiae" "METhionine requiring" "1536" "YJR010W" "S000003771" "ORF"
"YDL066W" "OTHER" "1" "IDP1" "S. cerevisiae" "Isocitrate Dehydrogenase, NADP-specific" "1287" "YDL066W" "S000002224" "ORF"
"YPL104W" "OTHER" "1" "MSD1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, Aspartate (D)" "1977" "YPL104W" "S000006025" "ORF"
"YLR209C" "OTHER" "1" "PNP1" "S. cerevisiae" "purine nucleoside phosphorylase" "936" "YLR209C" "S000004199" "ORF"
"YPL092W" "OTHER" "1" "SSU1" "S. cerevisiae" "Sensitive to SUlfite" "1377" "YPL092W" "S000006013" "ORF"
"YPL053C" "OTHER" "1" "KTR6" "S. cerevisiae" "Kre Two Related" "1341" "YPL053C" "S000005974" "ORF"
"YBL015W" "OTHER" "1" "ACH1" "S. cerevisiae" "Acetyl CoA Hydrolase" "1581" "YBL015W" "S000000111" "ORF"
"YJR153W" "OTHER" "1" "PGU1" "S. cerevisiae" "PolyGalactUronase" "1086" "YJR153W" "S000003914" "ORF"
"YOR180C" "OTHER" "1" "DCI1" "S. cerevisiae" "delta(3,5)-delta(2,4)-Dienoyl-CoA Isomerase" "816" "YOR180C" "S000005706" "ORF"
"YGR240C" "OTHER" "1" "PFK1" "S. cerevisiae" "PhosphoFructoKinase" "2964" "YGR240C" "S000003472" "ORF"
"YGL009C" "OTHER" "1" "LEU1" "S. cerevisiae" "LEUcine biosynthesis" "2340" "YGL009C" "S000002977" "ORF"
"YOR095C" "OTHER" "1" "RKI1" "S. cerevisiae" "Ribose-5-phosphate Ketol-Isomerase" "777" "YOR095C" "S000005621" "ORF"
"YMR241W" "OTHER" "1" "YHM2" "S. cerevisiae" "Yeast suppressor of HM mutant" "945" "YMR241W" "S000004854" "ORF"
"YGR065C" "OTHER" "1" "VHT1" "S. cerevisiae" "Vitamin H Transporter" "1782" "YGR065C" "S000003297" "ORF"
"YGR243W" "OTHER" "1" "MPC3" "S. cerevisiae" "Mitochondrial Pyruvate Carrier" "441" "YGR243W" "S000003475" "ORF"
"YKL182W" "OTHER" "1" "FAS1" "S. cerevisiae" "Fatty Acid Synthetase" "6156" "YKL182W" "S000001665" "ORF"
"YPR138C" "OTHER" "1" "MEP3" "S. cerevisiae" "" "1470" "YPR138C" "S000006342" "ORF"
"YGR185C" "OTHER" "1" "TYS1" "S. cerevisiae" "TYrosyl-tRNA Synthetase" "1185" "YGR185C" "S000003417" "ORF"
"YBR249C" "OTHER" "1" "ARO4" "S. cerevisiae" "AROmatic amino acid requiring" "1113" "YBR249C" "S000000453" "ORF"
"YHR128W" "OTHER" "1" "FUR1" "S. cerevisiae" "5-FluoroURidine resistant" "651" "YHR128W" "S000001170" "ORF"
"YJR139C" "OTHER" "1" "HOM6" "S. cerevisiae" "HOMoserine requiring" "1080" "YJR139C" "S000003900" "ORF"
"YGR193C" "OTHER" "1" "PDX1" "S. cerevisiae" "Pyruvate Dehydrogenase complex protein X" "1233" "YGR193C" "S000003425" "ORF"
"YCL040W" "OTHER" "1" "GLK1" "S. cerevisiae" "GLucoKinase" "1503" "YCL040W" "S000000545" "ORF"
"YLR180W" "OTHER" "1" "SAM1" "S. cerevisiae" "S-AdenosylMethionine requiring" "1149" "YLR180W" "S000004170" "ORF"
"YKR097W" "OTHER" "1" "PCK1" "S. cerevisiae" "Phosphoenolpyruvate CarboxyKinase" "1650" "YKR097W" "S000001805" "ORF"
"YPR062W" "OTHER" "1" "FCY1" "S. cerevisiae" "FluoroCYtosine resistance" "477" "YPR062W" "S000006266" "ORF"
"YPL188W" "OTHER" "1" "POS5" "S. cerevisiae" "PerOxide Sensitive" "1245" "YPL188W" "S000006109" "ORF"
"YPL087W" "OTHER" "1" "YDC1" "S. cerevisiae" "Yeast DihydroCeramidase" "954" "YPL087W" "S000006008" "ORF"
"YNL270C" "OTHER" "1" "ALP1" "S. cerevisiae" "" "1722" "YNL270C" "S000005214" "ORF"
"YDL052C" "OTHER" "1" "SLC1" "S. cerevisiae" "SphingoLipid Compensation" "912" "YDL052C" "S000002210" "ORF"
"YMR020W" "OTHER" "1" "FMS1" "S. cerevisiae" "Fenpropimorph-resistance Multicopy Suppressor" "1527" "YMR020W" "S000004622" "ORF"
"YER005W" "OTHER" "1" "YND1" "S. cerevisiae" "Yeast Nucleoside Diphosphatase" "1893" "YER005W" "S000000807" "ORF"
"YPR069C" "OTHER" "1" "SPE3" "S. cerevisiae" "SPErmidine auxotroph" "882" "YPR069C" "S000006273" "ORF"
"YLR153C" "OTHER" "1" "ACS2" "S. cerevisiae" "Acetyl CoA Synthetase" "2052" "YLR153C" "S000004143" "ORF"
"YJR103W" "OTHER" "1" "URA8" "S. cerevisiae" "URAcil requiring" "1737" "YJR103W" "S000003864" "ORF"
"YGL205W" "OTHER" "1" "POX1" "S. cerevisiae" "" "2247" "YGL205W" "S000003173" "ORF"
"YLR348C" "OTHER" "1" "DIC1" "S. cerevisiae" "DIcarboxylate Carrier" "897" "YLR348C" "S000004340" "ORF"
"YOR163W" "OTHER" "1" "DDP1" "S. cerevisiae" "Diadenosine and Diphosphoinositol Polyphosphate phosphohydrolase" "567" "YOR163W" "S000005689" "ORF"
"YJL121C" "OTHER" "1" "RPE1" "S. cerevisiae" "Ribulose 5-Phosphate Epimerase" "717" "YJL121C" "S000003657" "ORF"
"YBR019C" "OTHER" "1" "GAL10" "S. cerevisiae" "GALactose metabolism" "2100" "YBR019C" "S000000223" "ORF"
"YER073W" "OTHER" "1" "ALD5" "S. cerevisiae" "ALdehyde Dehydrogenase" "1563" "YER073W" "S000000875" "ORF"
"YPL188W" "OTHER" "1" "POS5" "S. cerevisiae" "PerOxide Sensitive" "1245" "YPL188W" "S000006109" "ORF"
"YOL068C" "OTHER" "1" "HST1" "S. cerevisiae" "Homolog of SIR Two (SIR2)" "1512" "YOL068C" "S000005429" "ORF"
"YMR300C" "OTHER" "1" "ADE4" "S. cerevisiae" "ADEnine requiring" "1533" "YMR300C" "S000004915" "ORF"
"YGR124W" "OTHER" "1" "ASN2" "S. cerevisiae" "ASparagiNe requiring" "1719" "YGR124W" "S000003356" "ORF"
"YBR002C" "OTHER" "1" "RER2" "S. cerevisiae" "Retention in the Endoplasmic Reticulum" "861" "YBR002C" "S000000206" "ORF"
"YNL130C" "OTHER" "1" "CPT1" "S. cerevisiae" "CholinePhosphoTransferase" "1274" "YNL130C" "S000005074" "ORF"
"YER065C" "OTHER" "1" "ICL1" "S. cerevisiae" "IsoCitrate Lyase" "1674" "YER065C" "S000000867" "ORF"
"YKR039W" "OTHER" "1" "GAP1" "S. cerevisiae" "General Amino acid Permease" "1809" "YKR039W" "S000001747" "ORF"
"YNL129W" "OTHER" "1" "NRK1" "S. cerevisiae" "Nicotinamide Riboside Kinase" "723" "YNL129W" "S000005073" "ORF"
"YHR026W" "OTHER" "1" "VMA16" "S. cerevisiae" "Vacuolar Membrane Atpase" "642" "YHR026W" "S000001068" "ORF"
"YPR167C" "OTHER" "1" "MET16" "S. cerevisiae" "METhionine requiring" "786" "YPR167C" "S000006371" "ORF"
"YPL148C" "OTHER" "1" "PPT2" "S. cerevisiae" "Phosphopantetheine:Protein Transferase" "522" "YPL148C" "S000006069" "ORF"
"YBL015W" "OTHER" "1" "ACH1" "S. cerevisiae" "Acetyl CoA Hydrolase" "1581" "YBL015W" "S000000111" "ORF"
"YGR209C" "OTHER" "1" "TRX2" "S. cerevisiae" "ThioRedoXin" "315" "YGR209C" "S000003441" "ORF"
"YMR241W" "OTHER" "1" "YHM2" "S. cerevisiae" "Yeast suppressor of HM mutant" "945" "YMR241W" "S000004854" "ORF"
"YGR292W" "OTHER" "1" "MAL12" "S. cerevisiae" "MALtose fermentation" "1755" "YGR292W" "S000003524" "ORF"
"YDR261C" "OTHER" "1" "EXG2" "S. cerevisiae" "EXo-1,3-beta-Glucanase" "1689" "YDR261C" "S000002669" "ORF"
"YJR121W" "OTHER" "1" "ATP2" "S. cerevisiae" "ATP synthase" "1536" "YJR121W" "S000003882" "ORF"
"YLR142W" "OTHER" "1" "PUT1" "S. cerevisiae" "Proline UTilization" "1431" "YLR142W" "S000004132" "ORF"
"YDR353W" "OTHER" "1" "TRR1" "S. cerevisiae" "ThioRedoxin Reductase" "960" "YDR353W" "S000002761" "ORF"
"YIL155C" "OTHER" "1" "GUT2" "S. cerevisiae" "Glycerol UTilization" "1950" "YIL155C" "S000001417" "ORF"
"YPL069C" "OTHER" "1" "BTS1" "S. cerevisiae" "Bet Two Suppressor" "1008" "YPL069C" "S000005990" "ORF"
"YPL092W" "OTHER" "1" "SSU1" "S. cerevisiae" "Sensitive to SUlfite" "1377" "YPL092W" "S000006013" "ORF"
"YBR035C" "OTHER" "1" "PDX3" "S. cerevisiae" "PyriDoXine auxotrophy" "687" "YBR035C" "S000000239" "ORF"
"YOR335C" "OTHER" "1" "ALA1" "S. cerevisiae" "ALAnyl-tRNA synthetase" "2877" "YOR335C" "S000005862" "ORF"
"YMR169C" "OTHER" "1" "ALD3" "S. cerevisiae" "ALdehyde Dehydrogenase" "1521" "YMR169C" "S000004779" "ORF"
"YOR374W" "OTHER" "1" "ALD4" "S. cerevisiae" "ALdehyde Dehydrogenase" "1560" "YOR374W" "S000005901" "ORF"
"YPL036W" "OTHER" "1" "PMA2" "S. cerevisiae" "Plasma Membrane ATPase" "2844" "YPL036W" "S000005957" "ORF"
"YMR217W" "OTHER" "1" "GUA1" "S. cerevisiae" "GUanine Auxotroph" "1578" "YMR217W" "S000004830" "ORF"
"YBR249C" "OTHER" "1" "ARO4" "S. cerevisiae" "AROmatic amino acid requiring" "1113" "YBR249C" "S000000453" "ORF"
"YDR342C" "OTHER" "1" "HXT7" "S. cerevisiae" "HeXose Transporter" "1713" "YDR342C" "S000002750" "ORF"
"YDL052C" "OTHER" "1" "SLC1" "S. cerevisiae" "SphingoLipid Compensation" "912" "YDL052C" "S000002210" "ORF"
"YMR008C" "OTHER" "1" "PLB1" "S. cerevisiae" "PhosphoLipase B" "1995" "YMR008C" "S000004610" "ORF"
"YNL101W" "OTHER" "1" "AVT4" "S. cerevisiae" "Amino acid Vacuolar Transport" "2142" "YNL101W" "S000005045" "ORF"
"YPL206C" "OTHER" "1" "PGC1" "S. cerevisiae" "Phosphatidyl Glycerol phospholipase C" "966" "YPL206C" "S000006127" "ORF"
"YMR217W" "OTHER" "1" "GUA1" "S. cerevisiae" "GUanine Auxotroph" "1578" "YMR217W" "S000004830" "ORF"
"YGR193C" "OTHER" "1" "PDX1" "S. cerevisiae" "Pyruvate Dehydrogenase complex protein X" "1233" "YGR193C" "S000003425" "ORF"
"YOR071C" "OTHER" "1" "NRT1" "S. cerevisiae" "Nicotinamide Riboside Transporter" "1797" "YOR071C" "S000005597" "ORF"
"YMR300C" "OTHER" "1" "ADE4" "S. cerevisiae" "ADEnine requiring" "1533" "YMR300C" "S000004915" "ORF"
"YLR011W" "OTHER" "1" "LOT6" "S. cerevisiae" "LOw Temperature-responsive" "576" "YLR011W" "S000004001" "ORF"
"YGL205W" "OTHER" "1" "POX1" "S. cerevisiae" "" "2247" "YGL205W" "S000003173" "ORF"
"YER060W-A" "OTHER" "1" "FCY22" "S. cerevisiae" "FluoroCYtosine resistance" "1593" "YER060W-A" "S000002958" "ORF"
"YKR097W" "OTHER" "1" "PCK1" "S. cerevisiae" "Phosphoenolpyruvate CarboxyKinase" "1650" "YKR097W" "S000001805" "ORF"
"YDR345C" "OTHER" "1" "HXT3" "S. cerevisiae" "HeXose Transporter" "1704" "YDR345C" "S000002753" "ORF"
"YLR138W" "OTHER" "1" "NHA1" "S. cerevisiae" "Na+/H+ Antiporter" "2958" "YLR138W" "S000004128" "ORF"
"YPL087W" "OTHER" "1" "YDC1" "S. cerevisiae" "Yeast DihydroCeramidase" "954" "YPL087W" "S000006008" "ORF"
"YPR001W" "OTHER" "1" "CIT3" "S. cerevisiae" "CITrate synthase" "1461" "YPR001W" "S000006205" "ORF"
"YLR348C" "OTHER" "1" "DIC1" "S. cerevisiae" "DIcarboxylate Carrier" "897" "YLR348C" "S000004340" "ORF"
"YPR047W" "OTHER" "1" "MSF1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)" "1410" "YPR047W" "S000006251" "ORF"
"YNL270C" "OTHER" "1" "ALP1" "S. cerevisiae" "" "1722" "YNL270C" "S000005214" "ORF"
