Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type;PATHWAY;PATHWAY [subclass]
YJL097W;PHS1;Verified;PTPLA Homolog involved in Sphingolipid biosynthesis 1;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YJL100W;LSB6;Verified;Las Seventeen Binding protein;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YJL101C;GSH1;Verified;glutathione (GSH);null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glutathione metabolism;Metabolism of other amino acids
YJL121C;RPE1;Verified;Ribulose 5-Phosphate Epimerase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pentose phosphate pathway;Carbohydrate metabolism
YJL126W;NIT2;Verified;NITrilase superfamily;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nitrogen metabolism;Energy metabolism
YJL129C;TRK1;Verified;TRansport of potassium (K);null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YJL130C;URA2;Verified;URAcil requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pyrimidine metabolism;Nucleotide metabolism
YJL134W;LCB3;Verified;Long-Chain Base;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sphingolipid metabolism;Lipid metabolism
YJL137C;GLG2;Verified;Glycogenin-Like Gene;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other sugars metabolism;Carbohydrate metabolism
YJL139C;YUR1;Verified;Yeast Unknown Reading frame;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycan biosynthesis;Glycan biosynthesis and metabolism
YJL153C;INO1;Verified;INOsitol requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Inositol phosphate metabolism;Carbohydrate metabolism
YJL155C;FBP26;Verified;Fructose BisPhosphatase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fructose and mannose metabolism;Carbohydrate metabolism
YJL166W;QCR8;Verified;ubiQuinol-cytochrome C oxidoReductase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YJL167W;ERG20;Verified;ERGosterol biosynthesis;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549+2681213;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sterol metabolism;Lipid metabolism
YJL196C;ELO1;Verified;ELOngation defective;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YJL198W;PHO90;Verified;PHOsphate metabolism;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YJL200C;ACO2;Verified;ACOnitase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;TCA cycle;Carbohydrate metabolism
YJL212C;OPT1;Verified;OligoPeptide Transporter;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YJL214W;HXT8;Verified;HeXose Transporter;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YJL216C;IMA5;Verified;IsoMAltase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Galactose metabolism;Carbohydrate metabolism
YJR001W;AVT1;Verified;Amino acid Vacuolar Transport;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YJR009C;TDH2;Verified;Triose-phosphate DeHydrogenase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YJR010W;MET3;Verified;METhionine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Cysteine and methionine metabolism;Amino acid metabolism
YJR013W;GPI14;Verified;GlycosylPhosphatidylInositol anchor biosynthesis;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;GPI-anchor biosynthesis;Glycan biosynthesis and metabolism
YJR019C;TES1;Verified;ThioESterase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YJR024C;MDE1;Verified;Methylthioribulose-1-phosphate DEhydratase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Cysteine and methionine metabolism;Amino acid metabolism
YJR025C;BNA1;Verified;Biosynthesis of Nicotinic Acid;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YJR048W;CYC1;Verified;CYtochrome C;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YJR049C;UTR1;Verified;Unidentified TRanscript;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nicotinate and nicotinamide metabolism;Metabolism of cofactors and vitamins
YJR051W;OSM1;Verified;OSMotic sensitivity;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YJR057W;CDC8;Verified;Cell Division Cycle;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pyrimidine metabolism;Nucleotide metabolism
YJR066W;TOR1;Verified;Target Of Rapamycin;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YJR073C;OPI3;Verified;OverProducer of Inositol;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YJR077C;MIR1;Verified;Mitochondrial Import Receptor;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YJR078W;BNA2;Verified;Biosynthesis of Nicotinic Acid;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YJR103W;URA8;Verified;URAcil requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pyrimidine metabolism;Nucleotide metabolism
YJR105W;ADO1;Verified;ADenOsine kinase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nucleotide salvage metabolism;Nucleotide metabolism
YJR109C;CPA2;Verified;Carbamyl Phosphate synthetase A;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Arginine and proline metabolism;Amino acid metabolism
YJR110W;YMR1;Verified;Yeast Myotubularin Related;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YJR117W;STE24;Verified;STErile;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YJR121W;ATP2;Verified;ATP synthase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YJR130C;STR2;Verified;Sulfur TRansfer;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Cysteine and methionine metabolism;Amino acid metabolism
YJR133W;XPT1;Verified;Xanthine Phosphoribosyl Transferase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nucleotide salvage metabolism;Nucleotide metabolism
YJR137C;MET5;Verified;METhionine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Cysteine and methionine metabolism;Amino acid metabolism
YJR139C;HOM6;Verified;HOMoserine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycine, serine and threonine metabolism;Amino acid metabolism
YJR148W;BAT2;Verified;Branched-chain Amino acid Transaminase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Valine, leucine and isoleucine metabolism;Amino acid metabolism
YJR152W;DAL5;Verified;Degradation of Allantoin;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YJR153W;PGU1;Verified;PolyGalactUronase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other sugars metabolism;Carbohydrate metabolism
YKL001C;MET14;Verified;METhionine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Cysteine and methionine metabolism;Amino acid metabolism
YKL004W;AUR1;Verified;AUreobasidin A Resistance;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549+8668135+8593016;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sphingolipid metabolism;Lipid metabolism
YKL008C;LAC1;Verified;Longevity-Assurance gene Cognate (LAG1 Cognate);null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sphingolipid metabolism;Lipid metabolism
YKL016C;ATP7;Verified;ATP synthase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YKL019W;RAM2;Verified;RAS protein and A-factor Maturation;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Terpenoid backbone biosynthesis;Metabolism of terpenoids and polyketides
YKL024C;URA6;Verified;URAcil requiring;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pyrimidine metabolism;Nucleotide metabolism
YKL026C;GPX1;Verified;Glutathione PeroXidase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glutathione metabolism;Metabolism of other amino acids
YKL029C;MAE1;Verified;MAlic Enzyme;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YKL035W;UGP1;Verified;UDP-glucose pyrophosphorylase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549+10095102;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other sugars metabolism;Carbohydrate metabolism
YKL055C;OAR1;Verified;3-Oxoacyl-[Acyl-carrier-protein] Reductase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YKL060C;FBA1;Verified;FBA1;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YKL067W;YNK1;Verified;Yeast Nucleoside diphosphate Kinase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Purine metabolism;Nucleotide metabolism
YKL080W;VMA5;Verified;Vacuolar Membrane Atpase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YKL085W;MDH1;Verified;Malate DeHydrogenase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;TCA cycle;Carbohydrate metabolism
YKL088W;CAB3;Verified;Coenzyme A Biosynthesis;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549+19266201;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pantothenate and CoA biosynthesis;Metabolism of cofactors and vitamins
YKL094W;YJU3;Verified;Undefined;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YKL104C;GFA1;Verified;Glutamine:Fructose-6-phosphate Amidotransferase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glutamine metabolism;Amino acid metabolism
YKL106W;AAT1;Verified;Aspartate AminoTransferase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Alanine, aspartate and asparagine metabolism;Amino acid metabolism
YKL120W;OAC1;Verified;OxaloAcetate Carrier;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YKL127W;PGM1;Verified;PhosphoGlucoMutase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YKL132C;RMA1;Verified;Reduced Mating A;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Folate metabolism;Metabolism of cofactors and vitamins
YKL140W;TGL1;Verified;TriGlyceride Lipase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sterol metabolism;Lipid metabolism
YKL141W;SDH3;Verified;Succinate DeHydrogenase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;TCA cycle;Carbohydrate metabolism
YKL146W;AVT3;Verified;Amino acid Vacuolar Transport;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YKL148C;SDH1;Verified;Succinate DeHydrogenase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;TCA cycle;Carbohydrate metabolism
YKL150W;MCR1;Verified;Mitochondrial NADH-Cytochrome b5 Reductase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sterol metabolism;Lipid metabolism
YKL152C;GPM1;Verified;Glycerate PhosphoMutase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YKL165C;MCD4;Verified;Morphogenesis Checkpoint Dependent;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549+10773443;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;GPI-anchor biosynthesis;Glycan biosynthesis and metabolism
YKL174C;TPO5;Verified;Transporter of POlyamines;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YKL181W;PRS1;Verified;PhosphoRibosylpyrophosphate Synthetase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Histidine metabolism;Amino acid metabolism
YKL182W;FAS1;Verified;Fatty Acid Synthetase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YKL184W;SPE1;Verified;SPErmidine auxotroph;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Polyamines metabolism;Metabolism of cofactors and vitamins
YKL188C;PXA2;Verified;PeroXisomal ABC-transporter;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YKL192C;ACP1;Verified;Acyl Carrier Protein;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YKL194C;MST1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, Threonine;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Aminoacyl-tRNA biosynthesis;Translation
YKL203C;TOR2;Verified;Target Of Rapamycin;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YKL211C;TRP3;Verified;TRyPtophan;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YKL212W;SAC1;Verified;Suppressor of ACtin;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YKL215C;OXP1;Verified;OXoProlinase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glutathione metabolism;Metabolism of other amino acids
YKL216W;URA1;Verified;URAcil requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pyrimidine metabolism;Nucleotide metabolism
YKL217W;JEN1;Verified;Undefined;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YKL218C;SRY1;Verified;Serine Racemase of Yeast;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycine, serine and threonine metabolism;Amino acid metabolism
YKR009C;FOX2;Verified;Fatty acid OXidation;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YKR031C;SPO14;Verified;SPOrulation;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YKR039W;GAP1;Verified;General Amino acid Permease;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YKR043C;SHB17;Verified;SedoHeptulose 1,7-Bisphosphatase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YKR053C;YSR3;Verified;Yeast Sphingolipid Resistance;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sphingolipid metabolism;Lipid metabolism
YKR058W;GLG1;Verified;Glycogenin-Like Gene;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other sugars metabolism;Carbohydrate metabolism
YKR061W;KTR2;Verified;Kre Two Related;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycan biosynthesis;Glycan biosynthesis and metabolism
YKR066C;CCP1;Verified;Cytochrome c Peroxidase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YKR067W;GPT2;Verified;Glycerol-3-Phosphate acylTransferase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YKR069W;MET1;Verified;METhionine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Porphyrin and chlorophyll metabolism;Metabolism of cofactors and vitamins
YKR072C;SIS2;Verified;SIt4 Suppressor;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pantothenate and CoA biosynthesis;Metabolism of cofactors and vitamins
YKR080W;MTD1;Verified;Methylene Tetrahydrafolate Dehydrogenase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Folate metabolism;Metabolism of cofactors and vitamins
YKR089C;TGL4;Verified;TriacylGlycerol Lipase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sterol metabolism;Lipid metabolism
YKR093W;PTR2;Verified;Peptide TRansport;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YKR097W;PCK1;Verified;Phosphoenolpyruvate CarboxyKinase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YLL012W;YEH1;Verified;Yeast steryl Ester Hydrolase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sterol metabolism;Lipid metabolism
YLL015W;BPT1;Verified;Bile Pigment Transporter;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YLL018C;DPS1;Verified;Undefined;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549+2647492;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Aminoacyl-tRNA biosynthesis;Translation
YLL028W;TPO1;Verified;Transporter of POlyamines;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YLL031C;GPI13;Verified;GlycosylPhosphatidylInositol anchor biosynthesis;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549+10487931;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;GPI-anchor biosynthesis;Glycan biosynthesis and metabolism
YLL041C;SDH2;Verified;Succinate DeHydrogenase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;TCA cycle;Carbohydrate metabolism
YLL043W;FPS1;Verified;fdp1 Suppressor;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YLL048C;YBT1;Verified;Yeast Bile Transporter;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YLL052C;AQY2;Verified;AQuaporin of Yeast;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YLL057C;JLP1;Verified;dnaJ-Like Protein;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Taurine and hypotaurine metabolism;Metabolism of other amino acids
YLL061W;MMP1;Verified;S-MethylMethionine Permease;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YLL062C;MHT1;Verified;S-Methylmethionine-Homocysteine methylTransferase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Cysteine and methionine metabolism;Amino acid metabolism
YLR011W;LOT6;Verified;LOw Temperature-responsive;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Riboflavin, FMN and FAD metabolism;Metabolism of cofactors and vitamins
